ActivitySiteID,ActivityDescription,BookingStartTime,MaxBookees,Number Booked,Price (INR),BookingEndDateTime,Month_Year
HXP,20-20-20  2.45pm-3.45pm,14:45:00,25,12,499,2018-04-08 00:00:00,2018-04
HXP,20-20-20  2.45pm-3.45pm,14:45:00,25,15,499,2018-04-15 00:00:00,2018-04
HXP,20-20-20  2.45pm-3.45pm,14:45:00,25,14,499,2018-04-22 00:00:00,2018-04
HXP,20-20-20  2.45pm-3.45pm,14:45:00,25,9,499,2018-04-29 00:00:00,2018-04
HXP,20-20-20  2.45pm-3.45pm,14:45:00,25,7,499,2018-05-06 00:00:00,2018-05
HXP,20-20-20  2.45pm-3.45pm,14:45:00,25,10,499,2018-05-13 00:00:00,2018-05
HXP,20-20-20  2.45pm-3.45pm,14:45:00,25,7,499,2018-05-20 00:00:00,2018-05
HXP,20-20-20  2.45pm-3.45pm,14:45:00,25,3,499,2018-05-27 00:00:00,2018-05
TSC,20-20-20 7.00-8.00pm,19:00:00,24,10,499,2018-04-04 00:00:00,2018-04
TSC,20-20-20 7.00-8.00pm,19:00:00,24,12,499,2018-04-11 00:00:00,2018-04
TSC,20-20-20 7.00-8.00pm,19:00:00,24,9,499,2018-04-18 00:00:00,2018-04
TSC,20-20-20 7.00-8.00pm,19:00:00,24,5,499,2018-04-25 00:00:00,2018-04
TSC,20-20-20 7.00-8.00pm,19:00:00,24,6,499,2018-05-02 00:00:00,2018-05
TSC,20-20-20 7.00-8.00pm,19:00:00,24,5,499,2018-05-09 00:00:00,2018-05
TSC,20-20-20 7.00-8.00pm,19:00:00,24,6,499,2018-05-16 00:00:00,2018-05
TSC,20-20-20 7.00-8.00pm,19:00:00,24,6,499,2018-05-23 00:00:00,2018-05
TSC,20-20-20 7.00-8.00pm,19:00:00,24,7,499,2018-05-30 00:00:00,2018-05
NBL,20-20-20 9.30-10.30am,9:30:00,60,42,499,2018-04-03 00:00:00,2018-04
NBL,20-20-20 9.30-10.30am,9:30:00,60,34,499,2018-04-10 00:00:00,2018-04
NBL,20-20-20 9.30-10.30am,9:30:00,60,37,499,2018-04-17 00:00:00,2018-04
NBL,20-20-20 9.30-10.30am,9:30:00,60,33,499,2018-04-24 00:00:00,2018-04
NBL,20-20-20 9.30-10.30am,9:30:00,60,34,499,2018-05-01 00:00:00,2018-05
NBL,20-20-20 9.30-10.30am,9:30:00,60,28,499,2018-05-08 00:00:00,2018-05
NBL,20-20-20 9.30-10.30am,9:30:00,60,31,499,2018-05-15 00:00:00,2018-05
NBL,20-20-20 9.30-10.30am,9:30:00,60,31,499,2018-05-22 00:00:00,2018-05
NBL,20-20-20 9.30-10.30am,9:30:00,60,30,499,2018-05-29 00:00:00,2018-05
