BookingEndDateTime,ActivityDescription,ActivitySiteID,Price (INR),recommended_price
2018-04-08,20-20-20  2.45pm-3.45pm,HXP,499,521.455
2018-04-15,20-20-20  2.45pm-3.45pm,HXP,499,548.9000000000001
2018-04-22,20-20-20  2.45pm-3.45pm,HXP,499,548.9000000000001
2018-04-29,20-20-20  2.45pm-3.45pm,HXP,499,521.455
2018-05-06,20-20-20  2.45pm-3.45pm,HXP,499,521.455
2018-05-13,20-20-20  2.45pm-3.45pm,HXP,499,521.455
2018-05-20,20-20-20  2.45pm-3.45pm,HXP,499,521.455
2018-05-27,20-20-20  2.45pm-3.45pm,HXP,499,521.455
2018-04-04,20-20-20 7.00-8.00pm,TSC,499,521.455
2018-04-11,20-20-20 7.00-8.00pm,TSC,499,548.9000000000001
2018-04-18,20-20-20 7.00-8.00pm,TSC,499,521.455
2018-04-25,20-20-20 7.00-8.00pm,TSC,499,521.455
2018-05-02,20-20-20 7.00-8.00pm,TSC,499,521.455
2018-05-09,20-20-20 7.00-8.00pm,TSC,499,521.455
2018-05-16,20-20-20 7.00-8.00pm,TSC,499,521.455
2018-05-23,20-20-20 7.00-8.00pm,TSC,499,521.455
2018-05-30,20-20-20 7.00-8.00pm,TSC,499,521.455
2018-04-03,20-20-20 9.30-10.30am,NBL,499,548.9000000000001
2018-04-10,20-20-20 9.30-10.30am,NBL,499,548.9000000000001
2018-04-17,20-20-20 9.30-10.30am,NBL,499,548.9000000000001
2018-04-24,20-20-20 9.30-10.30am,NBL,499,548.9000000000001
2018-05-01,20-20-20 9.30-10.30am,NBL,499,548.9000000000001
2018-05-08,20-20-20 9.30-10.30am,NBL,499,521.455
2018-05-15,20-20-20 9.30-10.30am,NBL,499,548.9000000000001
2018-05-22,20-20-20 9.30-10.30am,NBL,499,548.9000000000001
2018-05-29,20-20-20 9.30-10.30am,NBL,499,548.9000000000001
2018-04-04,20-20-20 9.30-10.30am,SBP,499,548.9000000000001
2018-04-11,20-20-20 9.30-10.30am,SBP,499,521.455
2018-04-18,20-20-20 9.30-10.30am,SBP,499,521.455
2018-04-25,20-20-20 9.30-10.30am,SBP,499,521.455
2018-05-02,20-20-20 9.30-10.30am,SBP,499,521.455
2018-05-09,20-20-20 9.30-10.30am,SBP,499,521.455
2018-05-16,20-20-20 9.30-10.30am,SBP,499,521.455
2018-05-23,20-20-20 9.30-10.30am,SBP,499,521.455
2018-05-30,20-20-20 9.30-10.30am,SBP,499,521.455
2018-04-03,20:20:20  10-11 Am,BRP,499,658.68
2018-04-10,20:20:20  10-11 Am,BRP,499,548.9000000000001
2018-04-17,20:20:20  10-11 Am,BRP,499,548.9000000000001
2018-04-24,20:20:20  10-11 Am,BRP,499,548.9000000000001
2018-05-01,20:20:20  10-11 Am,BRP,499,548.9000000000001
2018-05-08,20:20:20  10-11 Am,BRP,499,658.68
2018-05-15,20:20:20  10-11 Am,BRP,499,548.9000000000001
2018-05-22,20:20:20  10-11 Am,BRP,499,548.9000000000001
2018-05-29,20:20:20  10-11 Am,BRP,499,548.9000000000001
2018-04-05,20:20:20  10.00-11.00am,BRP,499,548.9000000000001
2018-04-12,20:20:20  10.00-11.00am,BRP,499,548.9000000000001
2018-04-19,20:20:20  10.00-11.00am,BRP,499,548.9000000000001
2018-04-26,20:20:20  10.00-11.00am,BRP,499,548.9000000000001
2018-05-03,20:20:20  10.00-11.00am,BRP,499,548.9000000000001
2018-05-10,20:20:20  10.00-11.00am,BRP,499,548.9000000000001
2018-05-17,20:20:20  10.00-11.00am,BRP,499,548.9000000000001
2018-05-31,20:20:20  10.00-11.00am,BRP,499,521.455
2018-04-07,20:20:20  11am -12noon,HXP,499,521.455
2018-04-14,20:20:20  11am -12noon,HXP,499,521.455
2018-04-28,20:20:20  11am -12noon,HXP,499,521.455
2018-05-05,20:20:20  11am -12noon,HXP,499,548.9000000000001
2018-05-12,20:20:20  11am -12noon,HXP,499,548.9000000000001
2018-05-19,20:20:20  11am -12noon,HXP,499,521.455
2018-05-26,20:20:20  11am -12noon,HXP,499,521.455
2018-04-06,20:20:20  9.30-10.30am,BRP,499,548.9000000000001
2018-04-13,20:20:20  9.30-10.30am,BRP,499,548.9000000000001
2018-04-20,20:20:20  9.30-10.30am,BRP,499,658.68
2018-04-27,20:20:20  9.30-10.30am,BRP,499,548.9000000000001
2018-05-04,20:20:20  9.30-10.30am,BRP,499,658.68
2018-05-11,20:20:20  9.30-10.30am,BRP,499,658.68
2018-05-18,20:20:20  9.30-10.30am,BRP,499,658.68
